Survived,Pclass,Sex,Age,Fare,Embarked
No,Third,male,29.7,7.7375,Q
Yes,First,female,43.0,211.3375,S
Yes,Third,female,13.0,7.2292,C
Yes,First,female,17.0,57.0,S
No,First,male,29.0,30.0,S
No,Third,male,29.7,23.45,S
No,Third,male,25.0,7.05,S
No,Third,male,25.0,7.25,S
Yes,Third,female,18.0,7.4958,S
No,Third,male,8.0,29.125,Q
Yes,Third,male,1.0,20.575,S
No,First,male,46.0,79.2,C
No,Third,male,29.7,7.75,Q
No,Second,male,16.0,26.0,S
No,Third,female,29.7,69.55,S
No,First,male,29.7,30.6958,C
No,Third,male,25.0,7.8958,S
No,Second,male,39.0,13.0,S
Yes,First,female,49.0,25.9292,S
Yes,Third,female,31.0,8.6833,S
No,Third,male,30.0,7.2292,C
No,Third,female,30.0,24.15,S
No,Second,male,34.0,13.0,S
Yes,Second,female,31.0,26.25,S
Yes,First,male,11.0,120.0,S
Yes,Third,male,0.4,8.5167,C
Yes,Third,male,27.0,6.975,S
No,Third,male,31.0,7.775,S
No,First,male,39.0,0.0,S
No,Third,female,18.0,7.775,S
No,Second,male,39.0,13.0,S
Yes,First,female,33.0,53.1,S
No,Third,male,26.0,7.8875,S
No,Third,male,39.0,24.15,S
No,Second,male,35.0,10.5,S
No,Third,female,6.0,31.275,S
No,Third,male,30.5,8.05,S
No,First,male,29.7,0.0,S
No,Third,female,23.0,7.925,S
No,Second,male,31.0,37.0042,C
No,Third,male,43.0,6.45,S
No,Third,male,10.0,27.9,S
Yes,First,female,52.0,93.5,S
Yes,Third,male,27.0,8.6625,S
No,First,male,38.0,0.0,S
Yes,Third,female,27.0,12.475,S
No,Third,male,2.0,39.6875,S
No,Third,male,29.7,6.95,Q
No,Third,male,29.7,56.4958,S
Yes,Second,male,1.0,37.0042,C
Yes,Third,male,29.7,7.75,Q
Yes,Third,female,15.0,14.4542,C
Yes,Second,male,0.8,18.75,S
No,Third,male,29.7,7.2292,C
No,Third,male,23.0,7.8542,S
No,Third,male,18.0,8.3,S
Yes,First,female,39.0,83.1583,C
No,Third,male,21.0,8.6625,S
No,Third,male,29.7,8.05,S
Yes,Third,male,32.0,56.4958,S
Yes,First,male,29.7,29.7,C
No,Third,male,20.0,7.925,S
No,Second,male,16.0,10.5,S
Yes,First,female,30.0,31.0,C
No,Third,male,34.5,6.4375,C
No,Third,male,17.0,8.6625,S
No,Third,male,42.0,7.55,S
No,Third,male,29.7,69.55,S
No,Third,male,35.0,7.8958,C
No,Second,male,28.0,33.0,S
Yes,First,female,29.7,89.1042,C
No,Third,male,4.0,31.275,S
No,Third,male,74.0,7.775,S
No,Third,female,9.0,15.2458,C
Yes,First,female,16.0,39.4,S
No,Second,female,44.0,26.0,S
Yes,Third,female,18.0,9.35,S
Yes,First,female,45.0,164.8667,S
Yes,First,male,51.0,26.55,S
Yes,Third,female,24.0,19.2583,C
No,Third,male,29.7,7.2292,C
No,Third,male,41.0,14.1083,S
No,Second,male,21.0,11.5,S
Yes,First,female,48.0,25.9292,S
No,Third,female,29.7,69.55,S
No,Second,male,24.0,13.0,S
Yes,Second,female,42.0,13.0,S
Yes,Second,female,27.0,13.8583,C
No,First,male,31.0,50.4958,S
No,Third,male,29.7,9.5,S
Yes,Third,male,4.0,11.1333,S
No,Third,male,26.0,7.8958,S
Yes,First,female,47.0,52.5542,S
No,First,male,33.0,5.0,S
No,Third,male,47.0,9.0,S
Yes,Second,female,28.0,24.0,C
Yes,Third,female,15.0,7.225,C
No,Third,male,20.0,9.8458,S
No,Third,male,19.0,7.8958,S
No,Third,male,29.7,7.8958,S
Yes,First,female,56.0,83.1583,C
Yes,Second,female,25.0,26.0,S
No,Third,male,33.0,7.8958,S
No,Third,female,22.0,10.5167,S
No,Second,male,28.0,10.5,S
No,Third,male,25.0,7.05,S
No,Third,female,39.0,29.125,Q
No,Second,male,27.0,13.0,S
Yes,First,female,19.0,30.0,S
No,Third,female,29.7,23.45,S
Yes,First,male,26.0,30.0,C
No,Third,male,32.0,7.75,Q
